대학명,단대명,학부/학과명,커리큘럼
고려대학교,디자인조형학부,산업정보디자인,"2D기초조형 ,기초디자인-2D ,제품디자인스튜디오,디자인표현기법,3D그래픽스,기초디자인-3D,4D컴퓨터그래픽,디자인과발상,재료와프로세스,기초정보디자인,디자인프로토타입핑,디자인워크샵,인터랙티브컴퓨팅,디자인과조형,디자인 인간요소,디자인방법론,인터랙션디자인,공공디자인,디자인마케팅,디자인사고,인터페이스디자인,신개념가구디자인,제품시스템디자인,제품개발,디지털디자인프로젝트,디자인브랜딩포트폴리오,디자인세미나,디자인사례연구"
고려대학교,디자인조형학부,조형미술,"선묘와드로잉,현대회화기법,제품디자인스튜디오,전통회화연구,한국화ll-색채기법,졸업연구(종합설계),미술사,한국화스튜디오,디자인표현기법,현대미술워크샵,3D그래픽스,기초매체연구,기초디자인-3D, 4D컴퓨터그래픽,미디어와공간,디자인과발상, 종이&섬유, 재료와프로세스,전통회화연구,기초정보디자인,회화STUDIO,디자인프로토타입핑,평면재료기법,디자인워크샵,인터랙티브컴퓨팅,디자인과조형 ,디자인 인간요소,현대창작실기,디자인방법론, 신조형,인터랙션디자인,미술사,공공디자인 ,현대창작실기,디자인마케팅,뉴미디어아트,디자인사고,인터페이스디자인,신개념가구디자인,제품시스템디자인(종합설계),조형론,제품개발(종합설계),개별창작스튜디오,디지털디자인프로젝트,평면스튜디오,디자인브랜딩,한국미술세미나,포트폴리오,디자인세미나,NEW FORMS,디자인사례연구, 개별작품연구"
고려대학교,과학기술대학,응용수리과학부 데이터계산과학전공,"해석학및연습,선형대수학및연습,미분방정식및연습,편미분방정식및연습,이산수학,기하학및연습,다변수함수론및연습,수치해석학및연습,집합론,정수론및응용,계산수학,대수학과응용및연습,위상수학및연습,복소수해석학,수리통계학및연습,응용수학개론및연습,확률론,미분기하학,그래프론과응용및연습, 산업수학,금융수학개론,보험수학,위상데이터분석,실해석학,대수적위상수학 ,수학적모델링,수리금융파생상품론,실무데이터분석"
고려대학교,과학기술대학,인공지능사이버보안학과,"암호수학  ,정보보호개론 , 리눅스활용및실습,파이썬프로그래밍,자료구조론,선형대수학,이산수학과응용,객체지향프로그래밍기초와실습,데이터사이언스 ,사이버해킹기초와실습, 컴퓨터구조설계이론,웹프로그래밍,인공지능개론,현대암호,수치최적화이론,운영체제의이해,데이터통신네트워크,인공지능최적화기초 ,기계학습개론,시스템보안,암호SW개발,역공학,시스템프로그래밍실습,심층학습,네트워크보안,부채널분석,빅데이터응용및보안,디지털포렌식이론과실습,데이터베이스설계및보안,스마트시티보안관제,캡스톤디자인,대수학,모바일프로그래밍,강화학습,컴퓨터보안론,사이버법과정책,무선이동시스템및보안,악성코드분석,해킹방어이론과실습,블록체인과분산시스템,산학연계캡스톤디자인,컴파일러,인공지능보안시스템개발,신호정보해독및응용,IoT보안,모바일및핀테크보안,양자계산과보안, 비대면시대의산업보안,고급프라이버시암호학"
고려대학교,과학기술대학,컴퓨터융합소프트웨어학과,"자료구조.디지털시스템,프로그래밍언어론. 시스템소프트웨어.정보통신,컴퓨팅사고.빅데이터개론,Linux 실습,컴퓨터구조, IoT개론 ,윈도우즈프로그래밍및실습,객체지향프로그래밍및실습,어셈블리언어및실습 ,확률 및 통계,창의성설계,이산구조 및 연습,운영체제,인공지능,컴파일러, 데이터베이스,수치해석,스마트IoT,컴퓨터네트워크,정보보호,알고리즘,컴퓨터그래픽스,빅데이터분석방법론,전산선형대수학 ,리눅스시스템프로그래밍실습,소프트웨어공학 및 실습,프로그램개발방법론및실습,네트워크프로그래밍및실습,임베디드컴퓨팅시스템,오토마타,소프트웨어응용,클라우드컴퓨팅,ICT응용기술, 창업시뮬레이션,최적화기법입문 ,컴퓨터비전,빅데이터분산처리시스템,데이터마이닝,게임프로그래밍실습,지능형웹서비스,임베디드시스템하드웨어실습 , 정보보호응용및실습, GPGPU프로그래밍,컴퓨터통신및실습,인터넷응용및실습 ,머신러닝실습,인터넷서버구축및관리실습,인터넷및네트워크보안실습 ,멀티미디어시스템,병렬프로그래밍실습,스마트폰애플리케이션,프로그래밍실습, ICT학점연계프로젝트인턴십,캡스톤디자인"
고려대학교,과학기술대학,미래모빌리티학과,"자료구조개론, 기초역학개론, 통신및네트워크, 자동제어,영상처리및딥러닝,교통체계운영및분석,IoT개론, 객체지향프로그래밍및실습, 확률및통계, 기초공업수학, Linux 실습, 전기회로I,  빅데이터개론, AI-빅데이터 공학수학, 공학수학,임베디드컴퓨팅,  IoT 기초 PBL I, 자율주행 기반기술 PBL, 자율주행 심화 PBL, 로봇 설계/주행 PBL, 자율주행차 플랫폼 기반 AI 및 IoT 융합 PBL,자율주행을 위한 인공지능, 인공지능 로보틱스,자율주행시스템개론, 도시교통 계획및 의사결정, 도시모빌리티 시뮬레이션 모델링,데이터베이스,  모빌리티정보학,  자율주행 센서 및 데이터처리, 스마트자동차공학, 클라우드컴퓨팅개론, 자율주행 시뮬레이션 응용,  차량운동학,  IoT보안,  디지털트윈개론,  MassS:  통합 모빌리티서비스,이동로봇 운행시스템,자율주행 통신시스템,자율주행 안전시스템, 네트워크 기반 자율주행 PBL,  자율주행 빅데이터 분석 PBL,자율주행시스템 융합설계 PBL"
서강대학교,공과대학,컴퓨터공학과,"미적분학,일반물리, 일반물리실험,응용수학,집합론,선형대수학,정수론,컴퓨터기초,컴퓨터프로그래밍,이산구조,컴퓨터공학설계및실험,컴퓨터공학실험,자료구조,알고리즘설계와분석,컴퓨터프로그래밍,컴퓨터시스템개론,JAVA언어,프로그래밍언어,기초컴파일러구성,컴퓨터시스템,디지털회로개론, 컴퓨터아키텍쳐,데이터통신개론,운영체제,자동장치이론,시스템프로그래밍,임베디드시스템개론,임베디드컴퓨터구조,임베디드시스템소프트웨어,기초컴퓨터네트워크,기초SOC설계,컴퓨터응용,파일처리,기초머신러닝,고급소프트웨어실습,기초컴퓨터그래픽스, SW경제성분석및창업,SW명세화기법, 데이터베이스시스템,데이터베이스프로그래밍,소프트웨어공학,수치컴퓨팅및응용,인터넷프로그래밍및응용,설계패턴,기초인공지능,캡스톤디자인,암호학기초,현장실습,인턴쉽"
서강대학교,연계전공,융합소프트웨어(Convergence Software) 연계전공 ,"정보사회와인문학,코퍼스언어학,인문콘텐츠학,언어와통계,빅데이터학,문화산업과스토리텔링,정보처리및자연언어처리,디지털인문학문화지도개발,기초C언어,기초JAVA언어,자료구조입문,알고리즘입문,운영체제입문,데이터베이스입문"
서강대학교,연계전공,빅데이터 사이언스(BigData Science) 연계전공,"미적분학,대학수학,경제수리기초,기초빅데이터프로그래밍,선형대수학,통계학입문,경영통계학,경제통계학,빅데이터 종합설계,기초C언어,기초JAVA언어,자료구조입문,알고리즘입문,데이터베이스입문,빅데이터마이닝입문,빅데이터 컴퓨팅,Machine Learning Programming,인공지능(딥러닝) 개론,산업수학 종합설계,이산수학빅데이터 기반 마케팅과 스타트업,메타버스가상시장과마케팅사이언스,AI금융,금융시장의 빅데이터 분석,통계자료분석,BA 인공지능,빅데이터와 비즈니스 모델,웹데이터분석과응용(캡스톤디자인,계량경제학,경제수리통계학,금융계량경제학,금융시장행태주의분석,금융시장계량분석,코퍼스언어학,빅데이터학,정보처리 및 자연언어 처리,기초 머신러닝,블록체인 및 응용,Fundamentals of Computer Science for Korean Studies, Data&AI,데이터마이닝,AI기반기술경영및정책"
서강대학교,연계전공,인공지능(Artificial Intelligence) 연계전공,"기초인공지능프로그래밍,미적분학, 대학수학,경제수리기초,자료구조입문,자료구조,공학프로그래밍,인공지능(딥러닝)개론,인공지능종합설계,C언어기초,확률및랜덤변수,알고리즘입문,데이터베이스입문,빅데이터컴퓨팅,Machine Learning Programming,신호및시스템,디지털신호처리개론,디지털영상처리개론,기계학습기초, 대화형사용자인터페이스개론,병렬분산컴퓨팅,산업수학종합설계,기초인공지능,데이터마이닝,인공지능종합설계,AI기반기술경영및정책,선형대수학,기계공학해석,인공지능: 딥러닝,경제학특강3: 머신러닝을 이용한 금융시장 분석,Deep Learning & Computer Vision , AI금융,응용수학,고급공학수학,공학수학,화공수학,이산구조,기초빅테이터프로그래밍,정보처리및자연언어처리,고급선형대수학,코퍼스언어학,빅데이터학,언어와통계 ,기초Java언어,고급소프트웨어실습,컴퓨터공학설계및실험,웹데이터분석과응용(캡스톤디자인),BA 인공지능,빅데이터와 비즈니스 모델,신규 융합커뮤니케이션,인공지능과 마케팅,메타버스가상시장과마케팅사이언스,이산수학,전산물리학,공학수치해석,실험계획법과 통계분석 ,고급화공수학,거시경제학,경제학특강2: 파이썬을 이용한 금융시장 빅데이터분석,금융시장의 빅데이터 분석.인공지능현장실습Ⅱ"
성균관대학교,예술대학,미술학과,"드로잉,한국미술사,수묵기법,입체조형,졸업작품연구,스튜디오아트,서양미술사,비디오미술,작가초청세미나,동양예술론,표현기법,스튜디오아트,현대미술의쟁점,발상연습,예술사진,디지털3D조형,아트리서치,아트라이팅,디지털아트,전시기획프로젝트"
성균관대학교,예술대학,디자인학과(시각디자인),"디지털디자인스튜디오,디자인론,기초디자인,표현과재료,크리에이티브디자인,색채연구,입체조형,포토스튜디오,디자인 프로세스,아트앤디자인,발상과디자인,디자인 마케팅론,프로시저,디자인워크샵,포토앤커뮤니케이션,크리에이티브프로젝트,디자인스튜디오,인포메이션 디자인,디자인 크리에이티브,시각디자인,디자인리서치,포장디자인,프로페셔날종합설계프로젝트,통합적디자인,졸업작품 캡스톤디자인"
성균관대학교,예술대학,디자인학과(써피스디자인,"디지털디자인스튜디오,디자인론,기초디자인,표현과재료,크리에이티브 디자인,색채연구,입체조형,포토스튜디오,디자인프로세스,아트앤디자인,발상과디자인,디자인 마케팅론,프로시저,디자인워크샵,포토앤커뮤니케이션,디자인스튜디오,크리에이티브 프로젝트,공간디자인,디자인크리에이티브,통합디자인 스튜디오,디자인앤트렌드,디자인리서치,졸업작품 캡스톤 디자인,프레젠테이션,프로페셔날 종합설계프로젝트"
성균관대학교,소프트웨어융합대학,글로벌융합학부 데이터사이언스융합전공,"AI 기초와 활용, 컴퓨팅사고와SW코딩,문제해결과알고리즘,글로벌융합학부캡스톤프로젝트,데이터분석기초,데이터사이언스 캡스톤프로젝트,확률및통계,글로벌융합학부세미나,인공지능을위한기초수학,데이터사이언스개론,자료구조및알고리즘,데이터윤리와 사회적영향,미적분및선형대수,데이터사이언스와파이썬,데이터사이언스와R,데이터보안, 데이터큐레이션, 메타데이터 설계실습,지식그래프, 시맨틱웹시스템 구축실습,관계형 데이터베이스,NoSQL데이터베이스,데이터모델링,응용머신러닝,위치기반데이터분석,딥러닝개론,인공지능개론,데이터마케팅,데이터시각화실습,네트워크분석,시계열분석,정보시스템설계및구축,인간컴퓨터 상호작용, 정보행위론,웹프로그래밍,정보검색론,의료정보학개론,의료정보시스템실습,디지털인문학"
성균관대학교,소프트웨어융합대학,글로벌융합학부 인공지능융합전공,"강화학습, 글로벌융합학부캡스톤프로젝트,창의융합프로젝트,캡스톤설계프로젝트,인공지능시스템 ,빅데이터처리,인공지능& 예술, 전산사회과학, 인공지능마케팅,인공지능& 스포츠,인공지능& 법,파이낸셜인텔리전스,인공지능& 정신건강,인공지능 & 디자인,바이오인포메틱스,인공지능기반영상분석 및 생성,컴퓨터비전 및 응용,음성 데이터 및 응용,대화 에이전트 설계 및 응용,자연어처리 및 응용,인터랙션 인공지능,디자인 사고와창의설계,데이터 심리학,인간인공지능 상호작용,인공지능 스타트업,기업가정신 스타트업,프로젝트 AI산업전략,AI 기초와 활용,컴퓨팅사고와 SW코딩,문제해결과 알고리즘, 데이터분석기초,확률및통계, 글로벌융합 학부세미나, 인공지능을 위한 기초수학,데이터마이닝,기계학습,딥러닝,자료구조 및 알고리즘 개론,자료구조 개론,인공지개론,"
